YAL008W	chrI	+	597	1	136914	137510
YBR255W	chrII	+	2085	1	724456	726540
YGR164W	chrVII	+	336	1	828625	828960
YGR131W	chrVII	+	525	1	754726	755250
YNL003C	chrXIV	-	855	1	624975	625829
YBR135W	chrII	+	453	1	504854	505306
YBR160W	chrII	+	897	1	560078	560974
YJL082W	chrX	+	2196	1	281185	283380
YJL142C	chrX	-	393	1	147819	148211
YPL191C	chrXVI	-	1083	1	183597	184679
YGL215W	chrVII	+	1359	1	87981	89339
YKL074C	chrXI	-	1584	1	294610	296193
YLR467C-A	chrXII	-	483	1	1077050	1077532
YJL077C	chrX	-	396	1	294666	295061
YKL096W-A	chrXI	+	279	1	259253	259531
YIL124W	chrIX	+	894	1	126204	127097
YLR364C-A	chrXII	-	123	1	855523	855645
YPL039W	chrXVI	+	951	1	479225	480175
YNL170W	chrXIV	+	396	1	315978	316373
YGL141W	chrVII	+	2733	1	238353	241085
YJL179W	chrX	+	330	1	88787	89116
YDR316W-A	chrIV	+	1323	1	1096064	1097386
YDR316W-B	chrIV	+	5268	2	1096064	1097368	1097370	1101332
YKL083W	chrXI	+	615	1	280921	281535
YOR009W	chrXV	+	1464	1	344335	345798
YKL029C	chrXI	-	2010	1	382716	384725
YPL166W	chrXVI	+	642	1	237338	237979
YKL052C	chrXI	-	879	1	339668	340546
YHR025W	chrVIII	+	1074	1	159438	160511
YOL034W	chrXV	+	3282	1	259923	263204
YBL008W	chrII	+	2523	1	209653	212175
YIL062C	chrIX	-	465	1	243998	244462
YCL023C	chrIII	-	348	1	78949	79296
YOL116W	chrXV	+	1149	1	99809	100957
YDR196C	chrIV	-	726	1	850274	850999
YBR280C	chrII	-	1914	1	762784	764697
YNR032W	chrXIV	+	1107	1	686010	687116
YNR045W	chrXIV	+	1470	1	706139	707608
YML105C	chrXIII	-	822	1	57866	58687
YNL288W	chrXIV	+	1122	1	90303	91424
YIL059C	chrIX	-	366	1	246550	246915
YIL004C	chrIX	-	429	2	347946	348363	348495	348505
YNR018W	chrXIV	+	675	1	664270	664944
YPL144W	chrXVI	+	447	1	280480	280926
YFR047C	chrVI	-	888	1	244279	245166
YER087C-B	chrV	-	249	1	332582	332830
YHR078W	chrVIII	+	1659	1	256360	258018
YIR023C-A	chrIX	-	324	1	402383	402706
YJR115W	chrX	+	510	1	639942	640451
YLR355C	chrXII	-	1188	1	838066	839253
YGR099W	chrVII	+	2067	1	687899	689965
YLR300W	chrXII	+	1347	1	728955	730301
YCL028W	chrIII	+	1218	1	70150	71367
YJR140C	chrX	-	4947	1	690750	695696
YOR033C	chrXV	-	2109	1	392416	394524
YOR062C	chrXV	-	807	1	442725	443531
YBR043C	chrII	-	2070	1	321876	323945
